Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
03 60  03;TIERP;VENDEL-TEGELSMORA;34.53;33.02;20.99;11.71;0.32;1.51
03 60  05;TIERP;TIERP-SÖDERFORS;34.35;32.97;20.99;11.71;0.27;1.38
03 60  07;TIERP;VÄSTLAND;34.47;33.03;20.99;11.71;0.33;1.44
03 60  08;TIERP;HÅLLNÄS-ÖSTERLÖVSTA;34.47;33.03;20.99;11.71;0.33;1.44
03 80  01;UPPSALA;UPPSALA DOMKYRKOFÖRS.;33.94;33.02;21.14;11.71;0.17;0.92
03 80  02;UPPSALA;HELGA TREFALDIGHET;33.94;33.02;21.14;11.71;0.17;0.92
03 80  03;UPPSALA;GAMLA UPPSALA;33.94;33.02;21.14;11.71;0.17;0.92
03 80  04;UPPSALA;VAKSALA;33.94;33.02;21.14;11.71;0.17;0.92
03 80  05;UPPSALA;DANMARK-FUNBO;34.05;33.00;21.14;11.71;0.15;1.05
03 80  07;UPPSALA;HAGBY;34.28;33.01;21.14;11.71;0.16;1.27
03 80  08;UPPSALA;RAMSTA;34.28;33.01;21.14;11.71;0.16;1.27
03 80  09;UPPSALA;BALINGSTA;34.28;33.01;21.14;11.71;0.16;1.27
03 80  10;UPPSALA;VÄSTERÅKER;34.28;33.01;21.14;11.71;0.16;1.27
03 80  11;UPPSALA;DALBY;34.28;33.01;21.14;11.71;0.16;1.27
03 80  12;UPPSALA;UPPSALA-NÄS;34.28;33.01;21.14;11.71;0.16;1.27
03 80  14;UPPSALA;NORRA HAGUNDA;34.35;33.08;21.14;11.71;0.23;1.27
03 80  21;UPPSALA;BÄLINGEBYGDEN;34.20;33.05;21.14;11.71;0.20;1.15
